AA:,
人人,人人去泅水，干焦阿英毋去
事事,事事攏愛倚靠人
日日,日日消磨，無趁錢袂用得
步步,步步攏愛教
一一,一一解說清楚
萬萬,萬萬毋通去
足足,足足與伊趁三百萬
白白,白白食一頓
冷冷,這碗飯冷冷
濁濁,附近的工廠攏會佇三更半瞑的時陣偷偷仔排垃圾水，所以最近溝仔水攏濁濁，逐家只好買RO水來lim。
脆脆,這粒梨子脆脆真好食。
,
,
嗽嗽,阿英著嗽嗽
攪攪咧,肉愛先攪攪咧才開始炒
la7-la7-開,馬鈴薯kah蔥頭愛先la7-la7開才開始炒
la-la咧,la-la咧就共蓋起來hip一時
想想咧,想想咧無愛去
睏睏咧,睏睏咧才閣講
收收好,衫收收好緊去睏
炒炒熟,愛炒炒熟
問問清楚,問問清楚
long3-long3破,花矸仔囥佇遐好勢好勢，你共伊挵挵破創啥。
poo1-poo1幼,弟弟猶未發喙齒，所擺媽攏愛先共飯poo1-poo1幼才飼弟弟食。
割割予斷,遐的索仔割割予斷
peh-peh予開,遐的塗豆共peh-peh予開. 
peh-peh予開,你若好奇烏蒜頭的做法，其實彼也無啥，蒜頭peh-peh予開曝予焦就完成矣。
烘烘予軟,高麗愛烘烘予軟才切會開。
烘烘予軟,塑膠管愛烘烘予軟才有法度拗彎曲.
,
AAA:,
粉粉粉,伊的面仔粉粉粉
長長長,這枝竹篙長長長
燒燒燒,你麵煮甲燒燒燒。
冷冷冷,寒天的水冷冷冷。
畏畏畏,肥肉食傷濟畏畏畏。
肉肉肉,伊足大箍肉肉肉。
紅紅紅,彼蕊花開甲紅紅紅。
硬硬硬,彼粒石頭硬硬硬。
白白白,伊的皮膚白白白。
綿綿綿,這碗塗豆湯khong3到綿綿綿，誠好落喉。
幼幼幼,你的皮膚摸起來幼幼幼，袂輸咧gin2-a2咧。
,
,
,
ABB:,
幼麵麵,
白tsin-tsin,
白茫茫,山頂攏罩霧，白茫茫的啥物攏看無。
白捽捽,伊驚甲面色白捽捽。
白蔥蔥,蔥仔佮菜頭攏白蔥蔥。
白蔥蔥,他的皮膚白蔥蔥的。
白鑠鑠,我的鞋仔洗甲白鑠鑠。
光映映,光映映的店內啥物攏有咧賣，厝邊隔壁煮菜的時無鹽、無豆油，攏會叫厝裡的囡仔走來買。
光映映,照理講，都九點外矣！外口的天色應當是光映映才著，為啥物猶閣是暗殕殕？
光映映,月娘光映映，賊仔偷挖壁。
死殗殗（sí-giān-giān）,
死翹翹（sí-khiàu-khiàu）,出去活跳跳，轉厝吃一下死翹翹。
死癥癥 sí ting,
老硞硞,你頭毛喙鬚白，老硞硞矣，猶閣想欲佮人娶媠某--噢？
行透透,等我趁有錢了後，咱來去世界行透透。
行透透,伊無瞑無日南北二路行透透。
芳絳絳,伊咧問逐家欲食啥。我欲芳絳絳的油蔥餅，你咧？
芳絳絳,芳絳絳閣膨皮膨皮，真想共偷唚一下。
芳絳絳,王太太，恁新婦實在真gâu，煮甲一桌頂芳絳絳。
冷吱吱,今仔日外口的天氣冷吱吱，看你規个人寒甲欲動袂牢矣，先去洗身軀看會較好無。
利閃閃,這枝劍磨甲利閃閃。
利劍劍,
拑牢牢,
放外外,
油肭肭,
油洗洗,
直溜溜,
肥朒朒,彼个查埔食甲肥朒朒
青恂恂,
金爍爍（kim-sih-sih）,
金鑠鑠（kim-siak-siak）,
刺耙耙,
洘秫秫,
活跳跳,
看出出,
看真真,
看現現,
紅phann-phann,新娘衫若無紅phann-phann，按呢哪會喜氣？
紅記記,你的面紅記記，是咧歹勢喔？
紅記記,這粒lìn-gòo看起來紅記記，愛緊食，無驚會傷紅。
紅絳絳,
重錘錘,
挐氅氅,
氣怫怫,
烏㽎㽎,阿爸原本的頭毛是烏㽎㽎的，才無幾年suah攏白矣。
烏趖趖,阿兄，頭前的路烏趖趖，咱就莫行過去矣好無？
烏趖趖,菜瓜布用甲規塊烏㽎㽎，緊共擲挕捒（tàn hìnn-sak）。
狹-tsin-tsin,"這眠床狹-tsin-tsin, 鬥kheh燒。"
狹櫼櫼,
疼搐搐,
笑咍咍,
臭薟薟,
密喌喌,
情綿綿,
惜命命,
甜粅粅,
軟荍荍,
軟㽎㽎,
軟膏膏,
媠噹噹,
焦涸涸,
硬迸迸,
貴參參,
閒仙仙,
惡確確,
新點點,
暗挲挲,
暗摸摸,
暗漠漠,
暗趖趖,
碎糊糊,
滑遛秀,塗跤拄攄好，滑遛秀，著細膩勻仔行。
滑溜溜,
亂操操,
憂結結(kat),面憂結結咧想啥物代誌。
懊嘟嘟,
皺襞襞,
糊瘰瘰,
醉茫茫,醉茫茫千萬毋通駛車。橫直連酒攏開矣，莫儉這小可錢啦。
澹漉漉,
澹糊糊,
激外外,
激怐怐,
燒滾滾,便當雖然已經冷去矣，但是每一喙攏感受會著燒滾滾的愛。
燒燙燙,算我拜託你，彼茶鈷猶閣燒燙燙mőo摸。
膨獅獅,
闊莽莽,
闊閬閬,
黏黐黐,
譀呱呱,
霧嗄嗄,
穩觸觸,
鹹篤篤,你煮一个飯煮甲鹹篤篤，敢會食得？
爛糊糊,
硞硞,
幼麵麵,
白tsin-tsin,
白茫茫,山頂攏罩霧，白茫茫的啥物攏看無。
白捽捽,伊驚甲面色白捽捽。
白蔥蔥,蔥仔佮菜頭攏白蔥蔥。
白蔥蔥,他的皮膚白蔥蔥的。
白鑠鑠,我的鞋仔洗甲白鑠鑠。
光映映,
死殗殗,
老硞硞,
行透透,
芳絳絳,
冷吱吱,今仔日外口的天氣冷吱吱，我規个人寒甲欲動袂牢矣，敢袂使先予我洗身軀？
冷吱吱,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
AAB:,
ko-ko纏,
lin-lin-go一直滾動,
溜溜去,
gi-gi-tshua3發抖,
pi7-pi7-tshua3, I kuann5 kah ~.
phi7-phi7-tshua3, I kuann5 kah ~.
"khok8-khok8-lian3: I7 ti7 thoo5-kha1 ~ . Li2 kiu5 ai3 khng7-hoo7 ho2, bo5 tan2--leh ~.",
,
AABB:,
清清楚楚,
tap8-tap8-tih-tih,"Tso3 khang-khue3 ~, tsia bong7 tsit-e, hia bong7 tsit-e, tso3 bo5 tsit8 kiann7 ho2."
出出入入,
lan-lan-san-san零零星星,"li2 be7 e5 mih-kiann7 ~, long2 be7 tse5-tsuan5."
bong-bong-tong-tong莽莽撞撞,
勤勤儉儉,
e-e-tin-tin,
鬼鬼祟祟,
si-si-sut-sut,Lin2 nng7 e5 ti7 hia ~ si7 leh kong2-sann2.
聲聲句句,~ long2 si7 khi-phian3--gua2.
家家戶戶,
七七八八,
時時刻刻,
雙雙對對,
阿英kau1-kau1-kuai3-kuai3,
uan-uan-khiau-khiau彎彎曲曲,
起起落落,
來來去去,
扶扶請請,
pho-pho-thann2-thann2: Li2 tui2 tseh e5 lang5 ~ si7 u7 sann2 iong7-i3.,
,
,
ABAB:,
gong-直-gong-直,
散形散形,"Tai7-tsi3 tso3 be7 ho2, tshiunn(Tshun) i an2-ne7 ~."
散仙散仙,"Kau-tai3 tso3 tai7-tsi3 ~, pan7 be7 ho2."
"that-suann3-that-suann3: I pan3 tai7-tsi3 ~, soo2-i2 tso3 be7 ho2.",
神經神經,
"gam7-bin7-gam7-bin7, khian3-thian-khian3-thian不知分寸","Tsit e lang ~, siau3-siunn7 beh ka7 gua2 kuai2. （ siunn7 beh4 nia2 tsiong2-kim1)"
san2-thiu-san2-thiu瘦抽瘦抽,"Tsit e tsa9-boo2 senn liau2 ~, kam2 e7 senn?"
古意古意,
阿宏人老老實實,
阿莉kau-kau-kuai3-kuai3,
阿志人客客氣氣,
阿文粗粗魯魯,
阿玲人客氣客氣,
阿傑kau-kuai3-kau-kuai3,
阿媽粗魯粗魯,
糊里糊塗,
,
,
ABCC,
鬧熱滾滾,
清氣溜溜,
無煩無惱,
無明無朗lang,
無聲無說,
無me5無日,
無理無由,
無要無緊,
無依無ua2,
有情有義,
huah去huah倒-任性,
揣空揣phang,
無代無誌,
,
,
ABCB,
皮癢骨癢,
頭-tam3-袂-tam3（垂頭喪氣）,
喙笑目笑,
kha-lo2-手-lo2,
lo2-kha-lo2-手,
,
,
,
長lo3-lo3,
滑溜溜,
四四角角,
tin-tin-tang-tang（鈴鐺聲）,
,
,
甜甜仔,
芳芳仔,
冗冗仔,
貴貴仔,
輕輕仔,
順順仔,
久久仔,久久仔食一擺外口，阿爸的心情看起來真心適。
罕罕仔,
笑笑仔,伊聽了笑笑仔無講話就做伊離開矣。
,
,
假仙假tak,
假鬼假怪,
費氣費tak,
hau-siau5-hau-tak,
落氣落tak,
囉哩囉唆,
,
,
棉死棉爛,
ki-li-ku-lu肚子餓的聲音,
a-li-a-tsa很髒的意思:,
,
金金看,
phu-phu-光,
iann7-iann7-飛,
溜溜去,
tshiang3-tshiang3-滾,
khuh-khuh-嗽,
,
,
ki-ki-thok-thok指指點點,
心心念念,
phoo5-phoo5-thann2-thann2吹噓,
giu2-giu2-拉拉（拉扯衣服）,
,
臭konn5-konn5,
甜but-but,
tsat-thong-thong（擠滿了的意思）,
hiong5-piah-piah（兇暴的意思）,
ling7-hoo3-hoo3（松垮垮的意思）,
青sun2-sun2,
番-pa3-pa3（很番）,
gong7-ma3-ma3（傻呼呼）,
,
,
沙沙,
柴柴,
霧霧,
水水,
sau-sau,
一e一e,
一領一領,
兩蕊兩蕊,
糊糊,
粉粉,
清清,
ta-ta（乾燥）,
,
li-li-lak-lak,
mi1-mi1-mau3-mau3（凹凸不平）,
huainn5-huainn5-ke5-ke5（橫橫，橫七樹八）,
hi-hi-hoo3-hoo3（稀稀戽戽，不細心）,
大魚大肉,
,
,
暗bing-bong,
臭mi-mo,
湆-thin-thong,
瘦-pi-pa,
tam-lih-lok,
huainn-pi3-pa3,
澀-ki-kuainn,
歪-ko-tshih-tshuah:,
長long-long,
薄-li-si,
滑-liu3-siu3,
垃圾-li1-lo1,
,
,
惦惦,你給我惦惦
